Experiment,Method,Function,Mean,Std,Median
Engineering,GA-BO (DA-EI),WeldedBeam,5.727834332590808,4.188658020419387,5.009880371436043
Engineering,GA-BO (DA-EI),PressureVessel,60560.61255236821,36041.58803289371,53827.026073869696
Engineering,GA-BO (DA-EI),TensionSpring,21481.50074212585,55530.277005289194,5590.736235933843
Engineering,GA-BO (DA-EI),SpeedReducer,321.88210351370714,140.86051724233448,303.94731368451903
Engineering,Standard-BO,WeldedBeam,5.750018832609275,2.428497748039209,5.95258408590292
Engineering,Standard-BO,PressureVessel,66574.33970548493,39912.53616204721,59562.809962922445
Engineering,Standard-BO,TensionSpring,4681.643723913786,4545.638811700823,4077.9365914232994
Engineering,Standard-BO,SpeedReducer,206.17612900581395,82.24467129924949,177.05832057892394
Engineering,CMA-ES,WeldedBeam,2.8559289017488436,1.3624593787399921,2.9846467008346522
Engineering,CMA-ES,PressureVessel,15650.83164061443,8182.622793477738,12623.807426296324
Engineering,CMA-ES,TensionSpring,666.3284408883818,2493.0233260429623,0.036550068817124984
Engineering,CMA-ES,SpeedReducer,1199.7312506987198,481.10712051481147,1065.8818954812818
Engineering,Optuna-TPE,WeldedBeam,2.108357447629188,0.9611629884806612,2.3413531476130194
Engineering,Optuna-TPE,PressureVessel,11196.616308340255,3887.2022732066816,10477.35848938447
Engineering,Optuna-TPE,TensionSpring,3036.023330132793,8480.157254742633,0.03651300179150635
Engineering,Optuna-TPE,SpeedReducer,881.6706558884372,819.747888562843,630.9511177786753
Engineering,TuRBO,WeldedBeam,2.826758953327577,2.312788663434961,2.5083758475221156
Engineering,TuRBO,PressureVessel,33841.1214714094,22096.37811787612,25780.15778945058
Engineering,TuRBO,TensionSpring,2178.825250631511,7953.113224585623,0.010839759371844646
Engineering,TuRBO,SpeedReducer,193.26007764657118,79.80286107363843,191.73452404097407
Engineering,Random,WeldedBeam,3.611425227123387,1.045432787076397,3.5914360242534062
Engineering,Random,PressureVessel,17539.43179464703,9786.361825310954,13491.071672358714
Engineering,Random,TensionSpring,193614.20995597448,265044.522255708,15193.540289603168
Engineering,Random,SpeedReducer,2664.1359474697833,1214.157613869937,2657.5932311441206
Mixed-Variable,GA-BO (DA-EI),MLP-Mixed,0.01949076230399006,0.0012278768270143257,0.0193137711535476
Mixed-Variable,Standard-BO,MLP-Mixed,0.019492314857941274,0.0016580701977035094,0.0193137711535476
Mixed-Variable,CMA-ES,MLP-Mixed,0.020018630647414958,0.0008569535272888991,0.01932929669305994
Mixed-Variable,Optuna-TPE,MLP-Mixed,0.018967551622418866,0.0018875384972665927,0.019321533923303824
Mixed-Variable,TuRBO,MLP-Mixed,0.018785902810122657,0.0015732665870871135,0.0193137711535476
Mixed-Variable,Random,MLP-Mixed,0.020018630647414992,0.0011572141859710371,0.01932153392330377
Ablation,Full GA-BO,Ackley-5D,1.5350833247579756,0.6424973290788011,1.4914026568684098
Ablation,Full GA-BO,Rastrigin-5D,30.190526326217288,9.221081811114535,31.943329006443015
Ablation,Full GA-BO,Hartmann-6D,0.13287496436441362,0.09768524678037283,0.10373768915971437
Ablation,Full GA-BO,Ackley-10D,2.5970652984473963,0.42830115946894154,2.669312968000107
Ablation,No Diversity (EI),Ackley-5D,1.8683317124809384,0.8412745722728951,1.8334300199685676
Ablation,No Diversity (EI),Rastrigin-5D,24.593097040782745,6.092180963876311,23.462154226111117
Ablation,No Diversity (EI),Hartmann-6D,0.0984483414925343,0.10973517562359952,0.028736526748482927
Ablation,No Diversity (EI),Ackley-10D,3.5534424210099353,0.8552002998181404,3.308006442361919
Ablation,Fixed gamma,Ackley-5D,1.6213255764122176,0.5570408157486972,1.5389953320556846
Ablation,Fixed gamma,Rastrigin-5D,29.68535512287621,15.026691079569789,30.380683861309947
Ablation,Fixed gamma,Hartmann-6D,0.12510777609102705,0.09008341408782002,0.1335442186788538
Ablation,Fixed gamma,Ackley-10D,2.7154247733650876,0.8626436798513363,2.7939696353582417
Ablation,No Warm-Start,Ackley-5D,1.7479460108964153,0.6188986011194895,1.5309114116105715
Ablation,No Warm-Start,Rastrigin-5D,29.002231901281913,11.353444846543766,26.27949981091897
Ablation,No Warm-Start,Hartmann-6D,0.3349752891163875,0.514764620828774,0.08088934358879518
Ablation,No Warm-Start,Ackley-10D,3.100222224472364,0.42887232042058665,2.9934336563004504
Ablation,DE Optimizer,Ackley-5D,5.0104828232745415,0.5860750389059269,4.94933096831776
Ablation,DE Optimizer,Rastrigin-5D,38.04043756443245,9.125537202390277,39.16870014149648
Ablation,DE Optimizer,Hartmann-6D,1.1681575033504292,0.5113018001513837,1.0653670460073892
Ablation,DE Optimizer,Ackley-10D,6.975912893098089,0.6155648086924584,6.846249643585162
Scalability,GA-BO (DA-EI),Ackley-20D,2.6759135447000135,0.28510784602912986,2.6059915479000346
Scalability,GA-BO (DA-EI),Rastrigin-20D,194.18000834478838,16.287894352616334,193.80372130007277
Scalability,GA-BO (DA-EI),Levy-20D,6.714070365808629,2.766379311165366,6.060637829244809
Scalability,Standard-BO,Ackley-20D,4.626873230649397,1.644903986592173,4.456080192735104
Scalability,Standard-BO,Rastrigin-20D,237.1230323125886,25.83429324221442,235.67026821548967
Scalability,Standard-BO,Levy-20D,23.587538826717914,22.010651659022912,13.978000866789072
Scalability,CMA-ES,Ackley-20D,5.911458357576028,0.4615439481838679,5.968692305050759
Scalability,CMA-ES,Rastrigin-20D,210.47309713917326,20.674891379708548,207.23155221047745
Scalability,CMA-ES,Levy-20D,46.33370088916291,7.231270877013005,44.749393283225004
Scalability,TuRBO,Ackley-20D,4.651722883434074,0.7071290433870173,4.342770606683006
Scalability,TuRBO,Rastrigin-20D,202.8023673026868,28.022739608094405,210.32079442527404
Scalability,TuRBO,Levy-20D,32.89364236903102,15.363715439573685,30.835272687428738
Scalability,Random,Ackley-20D,8.51294349154293,0.19208094775166198,8.568068790040899
Scalability,Random,Rastrigin-20D,258.403507524188,8.738482143143353,258.49823205831154
Scalability,Random,Levy-20D,99.4342059276041,11.08019050158439,98.90133213808505
