Method,Function,Mean,Std
GA-BO (DA-EI),Ackley-20D,2.6759135447000135,0.28510784602912986
GA-BO (DA-EI),Rastrigin-20D,194.18000834478838,16.287894352616334
GA-BO (DA-EI),Levy-20D,6.714070365808629,2.766379311165366
Standard-BO,Ackley-20D,4.626873230649397,1.644903986592173
Standard-BO,Rastrigin-20D,237.1230323125886,25.83429324221442
Standard-BO,Levy-20D,23.587538826717914,22.010651659022912
CMA-ES,Ackley-20D,5.911458357576028,0.4615439481838679
CMA-ES,Rastrigin-20D,210.47309713917326,20.674891379708548
CMA-ES,Levy-20D,46.33370088916291,7.231270877013005
TuRBO,Ackley-20D,4.651722883434074,0.7071290433870173
TuRBO,Rastrigin-20D,202.8023673026868,28.022739608094405
TuRBO,Levy-20D,32.89364236903102,15.363715439573685
Random,Ackley-20D,8.51294349154293,0.19208094775166198
Random,Rastrigin-20D,258.403507524188,8.738482143143353
Random,Levy-20D,99.4342059276041,11.08019050158439
