Suite,Method,Function,Median,IQR,N
Synthetic,GA-BO-TR (ELA-γ),Branin,6.775590663532505e-06,6.4289065067058004e-06,15
Synthetic,GA-BO-TR (ELA-γ),Hartmann-6D,8.378262591168806e-05,0.1192548888875784,15
Synthetic,GA-BO-TR (ELA-γ),Ackley-5D,0.6177274489194216,0.37192482900389656,15
Synthetic,GA-BO-TR (ELA-γ),Ackley-10D,2.8810551999693286,1.5714356054043623,15
Synthetic,GA-BO-TR (ELA-γ),Ackley-20D,5.58612277285869,0.6799519089979729,15
Synthetic,GA-BO-TR (ELA-γ),Rastrigin-5D,19.196296727690314,28.316713405663926,15
Synthetic,GA-BO-TR (ELA-γ),Rastrigin-10D,86.20962821837414,18.181680581325196,15
Synthetic,GA-BO-TR (ELA-γ),Rosenbrock-4D,2.6824913797528085,2.4165569393836384,15
Synthetic,GA-BO-TR (ELA-γ),Levy-6D,1.7168571421545002,2.150467171220077,15
Synthetic,GA-BO-TR (cosine γ),Branin,4.547229161100397e-06,5.015646293848874e-06,15
Synthetic,GA-BO-TR (cosine γ),Hartmann-6D,0.0002441427576487243,0.11955151332650682,15
Synthetic,GA-BO-TR (cosine γ),Ackley-5D,0.7050985615907774,0.21551870313575172,15
Synthetic,GA-BO-TR (cosine γ),Ackley-10D,2.6778967072061666,0.920357902429684,15
Synthetic,GA-BO-TR (cosine γ),Ackley-20D,5.186124934315238,0.43390872544442516,15
Synthetic,GA-BO-TR (cosine γ),Rastrigin-5D,27.902748736478596,13.440890249703333,15
Synthetic,GA-BO-TR (cosine γ),Rastrigin-10D,81.65881308624358,17.960185086693087,15
Synthetic,GA-BO-TR (cosine γ),Rosenbrock-4D,3.36494020297149,1.5594606213605107,15
Synthetic,GA-BO-TR (cosine γ),Levy-6D,1.0917893858377319,2.6807402523485644,15
Synthetic,TuRBO-1,Branin,0.00013829872478943184,0.0002444463503126215,15
Synthetic,TuRBO-1,Hartmann-6D,0.027013987620547297,0.12192716746271381,15
Synthetic,TuRBO-1,Ackley-5D,1.3340665608414857,1.0375102550911723,15
Synthetic,TuRBO-1,Ackley-10D,4.075322102364527,0.8908293717966447,15
Synthetic,TuRBO-1,Ackley-20D,7.50809190106003,0.9190060593708331,15
Synthetic,TuRBO-1,Rastrigin-5D,19.340732237183623,21.196404883515584,15
Synthetic,TuRBO-1,Rastrigin-10D,92.64754665064254,18.47091668966081,15
Synthetic,TuRBO-1,Rosenbrock-4D,2.214428085020999,2.740244050809488,15
Synthetic,TuRBO-1,Levy-6D,2.9945969331690603,7.706556506866438,15
Synthetic,divTuRBO,Branin,0.00017639197010488328,0.0001653631187092941,15
Synthetic,divTuRBO,Hartmann-6D,0.026966833943684154,0.11023305887892243,15
Synthetic,divTuRBO,Ackley-5D,0.8625661663995179,1.164701632002643,15
Synthetic,divTuRBO,Ackley-10D,4.14167913185123,1.0911272259319165,15
Synthetic,divTuRBO,Ackley-20D,7.50809190106003,0.9190060593708331,15
Synthetic,divTuRBO,Rastrigin-5D,27.93969779311535,18.440634765942864,15
Synthetic,divTuRBO,Rastrigin-10D,88.4530673501774,18.214372937460297,15
Synthetic,divTuRBO,Rosenbrock-4D,1.9204869624572998,1.1409728899925324,15
Synthetic,divTuRBO,Levy-6D,1.18541642195825,4.196255689979095,15
Synthetic,HEBO,Branin,0.0002559537128704603,0.00026048864271732697,15
Synthetic,HEBO,Hartmann-6D,0.021324228651142363,0.03764900814826655,15
Synthetic,HEBO,Ackley-5D,1.8868298549468006,2.4321323397694616,15
Synthetic,HEBO,Ackley-10D,5.621715235212392,2.680273953546837,15
Synthetic,HEBO,Ackley-20D,5.942598540336842,1.241942107749118,15
Synthetic,HEBO,Rastrigin-5D,22.46386779522554,17.539713643449932,15
Synthetic,HEBO,Rastrigin-10D,82.93638717429717,28.243570703647705,15
Synthetic,HEBO,Rosenbrock-4D,2.463449238605552,1.597900305354182,15
Synthetic,HEBO,Levy-6D,4.046002914995482,2.9322771264802276,15
Synthetic,Standard-BO(qLogEI),Branin,1.84778802950758e-05,0.00010784986761258608,15
Synthetic,Standard-BO(qLogEI),Hartmann-6D,6.420366435477831e-05,0.11922505989739562,15
Synthetic,Standard-BO(qLogEI),Ackley-5D,0.5690350713043952,0.6594169342113112,15
Synthetic,Standard-BO(qLogEI),Ackley-10D,2.457323372389468,1.7246780474876462,15
Synthetic,Standard-BO(qLogEI),Ackley-20D,5.389095641088886,1.4651144391526785,15
Synthetic,Standard-BO(qLogEI),Rastrigin-5D,29.884170709531446,19.213074843676026,15
Synthetic,Standard-BO(qLogEI),Rastrigin-10D,74.32678670372276,17.1151024161546,15
Synthetic,Standard-BO(qLogEI),Rosenbrock-4D,3.737960471683985,1.948688285755523,15
Synthetic,Standard-BO(qLogEI),Levy-6D,2.2152844233947198,2.335802321587469,15
Synthetic,CMA-ES,Branin,0.2681882006149533,0.5241118247394079,15
Synthetic,CMA-ES,Hartmann-6D,0.8376371293047344,0.8723250690495605,15
Synthetic,CMA-ES,Ackley-5D,4.712508765582729,0.9535165004175781,15
Synthetic,CMA-ES,Ackley-10D,6.431092931197856,0.9523968637733642,15
Synthetic,CMA-ES,Ackley-20D,8.359274448061027,0.6502305223059839,15
Synthetic,CMA-ES,Rastrigin-5D,37.45170159314212,15.154932603111206,15
Synthetic,CMA-ES,Rastrigin-10D,99.5229916411859,28.512490918333654,15
Synthetic,CMA-ES,Rosenbrock-4D,18.998015828944737,30.19920633091936,15
Synthetic,CMA-ES,Levy-6D,6.928421379480271,4.424064439033128,15
Synthetic,Optuna-TPE,Branin,0.41264249739002856,0.5800170314204838,15
Synthetic,Optuna-TPE,Hartmann-6D,0.9020943989200729,0.43713975381526105,15
Synthetic,Optuna-TPE,Ackley-5D,4.531758344080053,1.2445781351296445,15
Synthetic,Optuna-TPE,Ackley-10D,6.6671010502489665,0.7254671742152095,15
Synthetic,Optuna-TPE,Ackley-20D,7.681733330004592,0.6284986855348338,15
Synthetic,Optuna-TPE,Rastrigin-5D,36.28180941058679,6.3140467696415286,15
Synthetic,Optuna-TPE,Rastrigin-10D,97.36091967335105,12.899595937794999,15
Synthetic,Optuna-TPE,Rosenbrock-4D,13.014906043274829,16.568085856831168,15
Synthetic,Optuna-TPE,Levy-6D,5.700315066784853,1.9644973467698499,15
Synthetic,Random,Branin,0.7665537909736518,1.3046719777255569,15
Synthetic,Random,Hartmann-6D,1.613474647013742,0.7056397385000581,15
Synthetic,Random,Ackley-5D,5.912180999200437,1.2541918555559448,15
Synthetic,Random,Ackley-10D,7.935023915854337,0.6941857892660819,15
Synthetic,Random,Ackley-20D,8.808410064159405,0.2779039540531443,15
Synthetic,Random,Rastrigin-5D,46.43012309948671,8.462644213219924,15
Synthetic,Random,Rastrigin-10D,117.95389894689575,17.452939533743205,15
Synthetic,Random,Rosenbrock-4D,42.365659924138605,47.19466722754281,15
Synthetic,Random,Levy-6D,12.23380175066933,5.4326848320156795,15
Engineering,GA-BO-TR (ELA-γ),WeldedBeam,2.6781145314264627,4.0667777636416975,10
Engineering,GA-BO-TR (ELA-γ),PressureVessel,18123.54806495464,10197.245497457858,10
Engineering,GA-BO-TR (ELA-γ),TensionSpring,0.012613147671782888,0.03825167749285998,10
